season;episode;speaker;Symptom;Test;Drug;Procedure;Intent;diagnosis_stage;Sarcasm;Emotion;Organ;correct_prediction;text;medical_entities;q_count;ex_count
1;1;wilson;nöbet;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;29 yaşında bir kadın hasta ilk nöbetini bir ay önce geçirmiş;"[{""text"": ""nöbet"", ""type"": ""symptom""}]";0;0
1;1;wilson;afazi;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;konuşma yetisini kaybetmiş bebek gibi anlamsız sesler çıkarıyor;"[{""text"": ""afazi"", ""type"": ""symptom""}]";0;0
1;1;wilson;zihinsel durum bozukluğu;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;mental durumu giderek kötüleşiyor;"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""symptom""}]";0;0
1;1;house;;;;;diğer;hipotez;1;alaycı;beyin;nörosistiserkozis;beyin tümörü dediler ben olsam ben de o tanıyı sevmezdim ölecek demenin sıkıcı bir yolu;"[{""text"": ""beyin tümörü"", ""type"": ""disease""}]";0;0
1;1;wilson;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;onun yaşında beyin tümörü olması pek olası değil;"[{""text"": ""beyin tümörü"", ""type"": ""disease""}]";0;0
1;1;wilson;;protein belirteçleri;;;açıklama;test;0;nötr;beyin;nörosistiserkozis;en sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı;"[{""text"": ""protein belirteçleri"", ""type"": ""test""}, {""text"": ""beyin kanseri"", ""type"": ""disease""}]";0;0
1;1;wilson;;;;radyasyon tedavisi;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;radyasyon tedavisine de yanıt vermiyor;"[{""text"": ""radyasyon tedavisi"", ""type"": ""procedure""}]";0;0
1;1;foreman;lezyon;mr;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;mr görüntüsünde bir lezyon var;"[{""text"": ""mr"", ""type"": ""test""}, {""text"": ""lezyon"", ""type"": ""symptom""}]";0;0
1;1;house;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;bence bu bir tümör değil;"[{""text"": ""tümör"", ""type"": ""disease""}]";0;0
1;1;house;;bt;;;soru;hipotez;0;nötr;beyin;nörosistiserkozis;bt'de hiçbir şey yok tümör değilse olası tanılarımız neler;"[{""text"": ""bt"", ""type"": ""test""}, {""text"": ""tümör"", ""type"": ""disease""}]";1;0
1;1;chase;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;anevrizma inme ya da başka bir iskemik sendrom olabilir;"[{""text"": ""anevrizma"", ""type"": ""disease""}, {""text"": ""inme"", ""type"": ""disease""}, {""text"": ""iskemik sendrom"", ""type"": ""disease""}]";0;0
1;1;house;;kontrastlı mr;;;hipotez;test;0;nötr;beyin;nörosistiserkozis;hemen kontrastlı bir beyin mr'ı isteyin;"[{""text"": ""kontrastlı mr"", ""type"": ""test""}]";0;0
1;1;cameron;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;creutzfeldt jakob hastalığı olabilir;"[{""text"": ""creutzfeldt-jakob hastalığı"", ""type"": ""disease""}]";0;0
1;1;foreman;;;;;soru;hipotez;0;nötr;beyin;nörosistiserkozis;wernicke ensefalopatisi olabilir mi;"[{""text"": ""wernicke ensefalopatisi"", ""type"": ""disease""}]";1;0
1;1;house;;tiamin düzeyi;;;açıklama;test;0;nötr;;nörosistiserkozis;hayır kandaki tiamin düzeyi normaldi;"[{""text"": ""tiamin düzeyi"", ""type"": ""test""}]";0;0
1;1;house;;kan testi,kontrastlı mr;;;hipotez;test;0;nötr;beyin;nörosistiserkozis;kan testlerini yeniden alın ve kontrastlı mr'ı acilen planlayın;"[{""text"": ""kan testi"", ""type"": ""test""}, {""text"": ""kontrastlı mr"", ""type"": ""test""}]";0;0
1;1;foreman;;mr;gadolinyum;;açıklama;test;0;nötr;beyin;nörosistiserkozis;gadolinyumu damardan veriyoruz beyine dağılıp mr için kontrast madde gibi davranacak;"[{""text"": ""gadolinyum"", ""type"": ""drug""}, {""text"": ""mr"", ""type"": ""test""}, {""text"": ""beyin"", ""type"": ""anatomy""}]";0;0
1;1;cameron;alerjik reaksiyon;;gadolinyum;;açıklama;test;0;endişe;;nörosistiserkozis;gadolinyuma alerjik reaksiyon geliştiriyor iki dakika içinde ölebilir;"[{""text"": ""gadolinyum"", ""type"": ""drug""}, {""text"": ""alerjik reaksiyon"", ""type"": ""symptom""}]";0;0
1;1;foreman;solunum durması;;epinefrin;;açıklama;test;0;endişe;;nörosistiserkozis;nefes almıyor yarım doz epinefrin verin;"[{""text"": ""solunum durması"", ""type"": ""symptom""}, {""text"": ""epinefrin"", ""type"": ""drug""}]";0;0
